333,SERG0333 M'. Sergius (27) L. f. L. n. Fidenas,Sergius,Fidenas
334,CORN0334 P. Cornelius (250 cf. 39) (M. f. M. n.) Maluginensis,Cornelius,Maluginensis
335,CLAU0335 Ap. Claudius (122) P. f. Ap. n. Crassus Inregillensis,Claudius,Crassus
336,QUIN0336 M. Quinctilius (9) L. f. L. n. Varus,Quinctilius,Varus
337,IULI0337 L. Iulius (297) Sp. ? f. Vopisci ? n. Iullus,Iulius,Iullus
338,FURI0338 M. Furius (60) Fusus,Furius,Fusus
340,FURI0340 M. Furius (44) L. f. Sp. n. Camillus,Furius,Camillus
341,POST0341 M. Postumius (16) A. f. A. n. Albinus Regillensis,Postumius,Albinus
342,SERV0342 Q. Servilius (56) Q. f. P. n. Fidenas,Servilius,Fidenas
343,VERG0343 L. Verginius (15) L. f. Opet. n. Tricostus Esquilinus,Verginius,Tricostus
344,SULP0344 Q. Sulpicius (34) Ser. f. Ser. n. Camerinus Cornutus,Sulpicius,Camerinus
347,IULI0347 L. Iulius (298) L. f. Vopisci n. Iullus,Iulius,Iullus
354,LICI0354 P. Licinius (43) P. f. P. n. Calvus Esquilinus,Licinius,Calvus
355,MANL0355 P. Manlius (97) M. f. Cn. n. Vulso,Manlius,Vulso
356,TITI0356 L. Titinius (25) L. f. M'. n. Pansa Saccus,Titinius,Pansa
357,MAEL0357 P. Maelius (4) Sp. f. C. n. Capitolinus,Maelius,Capitolinus
358,FURI0358 Sp. Furius (68) L. f. Sp. n. Medullinus,Furius,Medullinus
359,PUBL0359 L. Publilius (13) L. f. Voler. n. Philo Vulscus,Publilius,Philo
360,GENU0360 Cn. Genucius (10) M. f. M. n. Augurinus,Genucius,Augurinus
361,ATIL0361 L. Atilius (46) L. f. L. n. Priscus,Atilius,Priscus
362,POMP0362 M. Pomponius (7) L. f. L. n. Rufus,Pomponius,Rufus
363,DUIL0363 C. Duillius (8) K. f. K. n. Longus,Duillius,Longus
364,VETU0364 M. Veturius (13) Ti. f. Sp. n. Crassus Cicurinus,Veturius,Crassus
365,PUBL0365 Voler. Publilius (12) P. f. Voler. n. Philo,Publilius,Philo
366,VALE0366 M. Valerius (207) M. f. M. n. Lactucinus Maximus,Valerius,Lactucinus
367,CLAU0367 -. Claudius (not in RE) Ugo,Claudius,Ugo
368,MARI0368 -. Marius (not in RE) Appius,Marius,Appius
371,SERG0371 L. Sergius (26) M'. f. L. n. Fidenas,Sergius,Fidenas
372,POST0372 A. Postumius (57) Albinus Regillensis,Postumius,Albinus
373,CORN0373 P. Cornelius (252) P. f. M. n. Maluginensis,Cornelius,Maluginensis
374,MANL0374 Q. Manlius (99) A. f. Cn. n. Vulso (Capitolinus),Manlius,Vulso
375,CORN0375 P. Cornelius (120) P. f. A. n. Cossus,Cornelius,Cossus
376,CORN0376 P. Cornelius (328) Scipio,Cornelius,Scipio
380,AEMI0380 C. Aemilius (not in RE) Ti. f. Ti. n. Mamercinus,Aemilius,Mamercinus
381,VALE0381 L. Valerius (298) L. f. L. n. Poplicola,Valerius,Poplicola
382,POST0382 Sp. Postumius (61) Albinus Regillensis,Postumius,Albinus
384,CATL0384 -. Catlus (not in RE) Verus,Catlus,Verus
387,LUCR0387 L. Lucretius (20) Tricipitinus Flavus,Lucretius,Tricipitinus
388,SULP0388 Ser. Sulpicius (31 cf. 94) Q. f. Ser. n. Camerinus Rufus,Sulpicius,Camerinus
389,PAPI0389 L. Papirius (51) Cursor,Papirius,Cursor
390,CORN0390 M. Cornelius (248) P. f. M. n. Maluginensis,Cornelius,Maluginensis
391,MANL0391 M. Manlius (51) T. f. A. n. Arn. Sab. Tro. Ste. Capitolinus,Manlius,Capitolinus
393,FURI0393  Furius (7) Sex. f. - n. Fusus,Furius,Fusus
396,FABI0396 Q. Fabius (48) M. f. Q. n. Ambustus,Fabius,Ambustus
400,FABI0400 N. Fabius (45) M. f. Q. n. Ambustus,Fabius,Ambustus
401,SULP0401 Q. Sulpicius (76) Longus,Sulpicius,Longus
402,FOLI0402 M. Folius (1 2) M. f. (Flaccinator),Folius,(Flaccinator)
403,FABI0403 C. (or K.) Fabius (68) Dorsuo,Fabius,Dorsuo
406,MANL0406 A. Manlius (9) T. f. A. n. Capitolinus,Manlius,Capitolinus
407,AEMI0407 L. Aemilius (93) Mam. f. M. n. Mamercinus,Aemilius,Mamercinus
408,POST0408 L. Postumius (58) Albinus Regillensis,Postumius,Albinus
409,PAPI0409 L. Papirius (66) Mugillanus,Papirius,Mugillanus
411,SERV0411 C. Servilius (34 cf. 22) Ahala,Servilius,Ahala
414,FURI0414 L. Furius (41) M. f. L. n. Camillus,Furius,Camillus
415,QUIN0415 T. Quinctius (32) (T. f. L. n.) Cincinnatus Capitolinus,Quinctius,Cincinnatus
416,IULI0416 L. Iulius (299) Iullus,Iulius,Iullus
417,AQUI0417 L. Aquillius (15) Corvus,Aquillius,Corvus
418,SULP0418 Ser. Sulpicius (94 cf. 31) Rufus,Sulpicius,Rufus
419,SERG0419 Cn. Sergius (28) Fidenas Coxo,Sergius,Fidenas
420,MENE0420 Licinus Menenius (15) T. f. T. n. Lanatus,Menenius,Lanatus
426,CORN0426 Ser. Cornelius (254) P. f. M. n. Maluginensis,Cornelius,Maluginensis
427,QUIN0427 L. Quinctius (29) (- f. - n.) Cincinnatus,Quinctius,Cincinnatus
428,HORA0428 L. Horatius (14) Pulvillus,Horatius,Pulvillus
429,VALE0429 P. Valerius (308) L. f. L. n. Potitus Poplicola,Valerius,Potitus
432,CORN0432 A. Cornelius (114 cf. 112 113) Cossus,Cornelius,Cossus
433,PAPI0433 C. Papirius (42) Crassus,Papirius,Crassus
438,PAPI0438 Sp. Papirius (49) Crassus,Papirius,Crassus
440,SERV0440 Q. Servilius (57) Q. f. Q. n. Fidenas,Servilius,Fidenas
441,SULP0441 C. Sulpicius (7 cf. 29) (Camerinus),Sulpicius,(Camerinus)
442,FABI0442 -. Fabius (not in RE) Albus,Fabius,Albus
443,FURI0443 L. Furius (66) Sp. f. L. n. Medullinus,Furius,Medullinus
444,FABI0444 M. Fabius (43) K. f. M. n. Ambustus,Fabius,Ambustus
445,SULP0445 C. Sulpicius (83) M. f. Q. n. Peticus,Sulpicius,Peticus
446,PAPI0446 Ti. Papirius (50) Crassus,Papirius,Crassus
448,SEMP0448 A. Sempronius (23) Atratinus,Sempronius,Atratinus
449,SULP0449 C. Sulpicius (29 cf. 7) Camerinus,Sulpicius,Camerinus
450,MANL0450 P. Manlius (52) A. f. A. n. Capitolinus,Manlius,Capitolinus
453,ALBI0453 M. Albinius (3) -,Albinius,-
454,ANTI0454 L. Antistius (11) -,Antistius,-
456,EREN0456 C. Erenucius (col. 419) -,Erenucius,-
458,CLOE0458 P. Cloelius (8) Siculus,Cloelius,Siculus
459,HORA0459 M. Horatius (5) - f. - n. - - -,Horatius,-
460,GEGA0460 L. Geganius (2) (Macerinus),Geganius,(Macerinus)
461,SERV0461 Sp. Servilius (74) Priscus,Servilius,Priscus
462,CLOE0462 Q. Cloelius (11) Siculus,Cloelius,Siculus
464,VETU0464 C. Veturius (11) (L. f. Sp. n.) (Crassus) (Cicurinus),Veturius,(Crassus)
465,SULP0465 Ser. Sulpicius (88) Praetextatus Praetextatus,Sulpicius,Praetextatus
466,QUIN0466 C. Quinctius (26) Cincinnatus,Quinctius,Cincinnatus
468,LICI0468 C. Licinius (161) C. f. P. n. Stolo,Licinius,Stolo
469,SEXT0469 L. Sextius (36) Sex. f. N. n. Sextinus Lateranus,Sextius,Sextinus
471,VALE0471 C. Valerius (50) Potitus,Valerius,Potitus
473,CORN0473 A. Cornelius (115) Cossus,Cornelius,Cossus
474,CORN0474 M. Cornelius (249 cf. 248) P. f. M. n. Maluginensis,Cornelius,Maluginensis
475,QUIN0475 Q. Quinctius (31) (Cincinnatus),Quinctius,(Cincinnatus)
476,QUIN0476 T. Quinctius (33) Cincinnatus Capitolinus,Quinctius,Cincinnatus
477,SERV0477 Sp. Servilius (86) C. f. C. n. Structus,Servilius,Structus
