189,VILL0189 Ap. Villius (1),tr. pl. 449,-375
191,MANI0191 Sex. Manilius (15),tr. mil. 449,-375
192,OPPI0192 M. Oppius (13),tr. mil. 449,-375
193,FURI0193 Q. Furius (24  cf. 76) (Pacilus) (Fusus),pont. max.? 449,-375
194,PAPI0194 M. Papirius (21  cf. 47) (Crassus),pont.? 449,-375
195,HERM0195 Lars (or Sp.) Herminius (1) Coritinesanus,cos. 448,-375
196,VERG0196 T. Verginius (23) Tricostus Caeliomontanus,cos. 448,-375
197,ATER0197 A. Aternius (1) (Varus) (Fontinalis),tr. pl.? 448,-375
198,TREB0198 L. Trebonius (9) Asper,tr. pl. 448,-375
199,GEGA0199 M. Geganius (4) M. f.  Macerinus,cos. 447,-375
200,IULI0200 C. Iulius (13) (Iullus),cos. 447,-375
201,FURI0201  Furius (59) Fusus,cos. 446,-375
203,AEMI0203 Mam. Aemilius (16  97) M. f. Mamercinus,q. 446,-375
205,GENU0205 M. Genucius (11) Augurinus,cos. 445,-375
206,CURT0206 C.? Curtius (15) Philo (or Chilo),cos. 445,-375
207,CANU0207 C. Canuleius (2),tr. pl. 445,-375
208,FURN0208 C. Furnius (2),tr. pl. 445,-375
209,SEMP0209 A. Sempronius (21) (A. f. - n.) Atratinus,tr. mil. c. p. 444,-375
210,ATIL0210 L. Atilius (41) Luscus,tr. mil. c. p. 444,-375
211,CLOE0211 T. Cloelius (12) Siculus,III vir col. deduc. 442,-375
212,PAPI0212 L. Papirius (65) Mugillanus,cos. suff. 444,-350
213,SEMP0213 L. Sempronius (25) A. f. - n. Atratinus,cos. suff. 444,-375
214,FABI0214 M. Fabius (162) (Q. f. M. n.) Vibulanus,cos. 442,-375
215,AEBU0215 Post. Aebutius (14) Helva Cornicen,cos. 442,-375
216,POET0216 -. Poetelius (1),tr. pl.? 442,-375
218,AEBU0218 M. Aebutius (12) Helva,III vir col. deduc. 442,-375
219,FURI0219 C. Furius (76) Pacilus Fusus,cos. 441,-375
220,PAPI0220 M. (or M'.) Papirius (47) Crassus,cos. 441,-375
222,GEGA0222 Proc. Geganius (6) Macerinus,cos. 440,-375
223,MENE0223 L. Menenius (16  cf. 10 and 18) T. f. Agripp. n. Lanatus,cos.? 440,-375
224,MARC0224 M'. Marcius (17),aed. pl. 440,-375
226,SERV0226 C. Servilius (32) Ahala,mag. eq. 439,-375
227,CAEC0227 Q. Caecilius (19),tr. pl. 439,-375
228,IUNI0228 Q. Iunius (29),tr. pl. 439,-375
229,TITI0229 Sex. Titinius (18),tr. pl. 439,-375
231,QUIN0231 L. Quinctius (28) L. f. L. n. Cincinnatus,cos. 428,-350
233,FULC0233 C. Fulcinnius (1),leg. amb. 438,-438
234,CLOE0234 -. Cloelius (6) Tullus,leg. amb. 438,-438
235,ANTI0235 Sp. Antius (6),leg. amb. 438,-438
236,ROSC0236 L. Roscius (4),leg. amb. 438,-438
237,SERG0237 L. Sergius (25) C. f. C. n. Ser. Fidenas,cos. 437,-350
238,VALE0238 M. Valerius (206) M. f. M'. n. Lactuca (or Lactucinus) Maximus,cos. suff. 437,-375
239,CORN0239 A. Cornelius (112) M. f. L. n. Cossus,cos. 428,-375
240,PAPI0240 L. Papirius (10  43) Crassus,cos. 436,-375
241,CORN0241 M. Cornelius (247) (M. f. L. n.) Maluginensis,cos. 436,-375
242,MAEL0242 Sp. Maelius (3),tr. pl. 436,-375
