1190,,Plautius,Hypsaeus
1191,,Claudius,Pulcher
1192,,Sulpicius,Galba
1194,,Fulvius,Flaccus
1195,,Sempronius,Gracchus
1196,,Sempronius,Rutilus
1197,,Cornelius,Merula
1198,,Aurelius,Cotta
1200,,Valerius,Laevinus
1201,,Valerius,Messalla
1204,,Manlius,Acidinus
1205,,Marcius,Philippus
1207,,Valerius,Tappo
1208,,Fabius,(Buteo)
1209,,Fabius,Maximus
1212,,Cornelius,Cethegus
1213,,Furius,Luscus
1214,,Sempronius,Blaesus
1219,,Petillius,Spurinus
1221,,Aurelius,Scaurus
1222,,Calpurnius,Piso
1223,,Cornelius,Sulla
1224,,Licinius,Lucullus
1226,,Quinctius,Crispinus
1227,,Afranius,Stellio
1228,,Atilius,Serranus
1229,,Claudius,Marcellus
1231,,Postumius,Tempsanus
1232,,Valerius,Laevinus
1235,,Claudius,Nero
1236,,Iuventius,Thalna
1237,,Quinctilius,Varus
1238,,Cornelius,Cethegus
1239,,Decimius,Flavus
1240,,Naevius,Matho
1241,,Sempronius,Longus
1242,,Fulvius,Flaccus
1245,,Minucius,Augurinus
1247,,Fulvius,Flaccus
1248,,Fulvius,Nobilior
1249,,Cornelius,Sisenna
1250,,Iulius,(Caesar)
1251,,Postumius,Albinus
1253,,Aebutius,Parrus
1254,,Caecilius,Denter
1255,,Ogulnius,Gallus
1256,,Terentius,Istra
1259,,Minucius,Thermus
1260,,Aurelius,Cotta
1263,,Fabius,Buteo
1264,,Pinarius,Rusca (or Posca)
1265,,Iulius,Caesar
1270,,Acilius,Glabrio
1271,,Porcius,Licinus
1272,,Lucretius,Gallus
1274,,Cornelius,Mammula
1275,,Hostilius,Mancinus
1277,,Minucius,Molliculus
1278,,Postumius,Albinus
1279,,Villius,Annalis
1281,,Fulvius,(Nobilior)
1282,,Cornelius,Dolabella
1283,,Popillius,Laenas
1284,,Popillius,Laenas
1285,,Cornelius,Scipio
1286,,Fulvius,Nobilior
1287,,Cloelius,Siculus
1288,,Mucius,Scaevola
1289,,Mucius,Scaevola
1290,,Claudius,Centho
1291,,Servilius,Caepio
1295,,Claudius,Nero
1296,,Cluvius,Saxula
1297,,Fonteius,Capito
1301,,Aelius,(or
1304,,Cassius,Longinus
1305,,Licinius,Strabo
1309,,Cornelius,Scipio
1311,,Quinctius,Flamininus
1312,,Aelius,Paetus
1314,,Licinius,Nerva
1315,,Papirius,Turdus
1318,,Claudius,Marcellus
1319,,Aquillius,Gallus
1320,,Cornelius,Scipio
1321,,Licinius,Crassus
1322,,Papirius,Maso
1323,,Furius,Philus
1324,,Aelius,Ligus
1325,,Baebius,Sulca
1326,,Cornelius,Sulla
1327,,Lutatius,Cerco
1328,,Popillius,Laenas
1329,,Atilius,(Serranus)
1331,,Cornelius,Scipio
1332,,Furius,Philus
1334,,Canuleius,(Dives)
1336,,Sulpicius,Galba
1337,,Veturius,Gracchus
1338,,Sempronius,Longus
1341,,Fabius,Buteo
1342,,Servilius,(Geminus)
1343,,Cornelius,Mammula
1344,,Caecilius,Denter
1346,,Appuleius,Saturninus
1353,,Iunius,Pennus
1354,,Licinius,Crassus
1358,,Marcius,Scilla
1359,,Marcius,Sermo
1362,,Cornelius,Lentulus
1363,,Cornelius,Lentulus
1366,,Domitius,Ahenobarbus
1367,,Caninius,Rebilus
1369,,Fulvius,Nobilior
1370,,Manlius,Acidinus
1374,,Licinius,Nerva
1377,,Cornelius,Cethegus
1378,,Fulvius,(Nobilior)
1379,,Marcius,Rex
1380,,Minucius,Rufus
1384,,Manlius,Torquatus
1387,,Iuventius,Thalna
1390,,Cornelius,Blasio
1392,,Caninius,Rebilus
1393,,Coelius,Antipater
1394,,Fonteius,Capito
1395,,Marcius,Figulus
1396,,Cornelius,Scipio
1398,,Voconius,Saxa
1399,,Numisius,Tarquiniensis
1403,,Marcius,Philippus
1404,,Annius,Luscus
1405,,Decius,Subolo
1406,,Postumius,Albinus
1407,,Aebutius,Helva
1408,,Anicius,Gallus
1409,,Baebius,Tamphilus
1410,,Fonteius,Balbus
1411,,Papirius,Carbo
1413,,Manlius,(Acidinus)
1415,,Cornelius,Scipio
1417,,Sulpicius,Galba
1418,,Hostilius,(Tubulus)
1420,,Postumius,Albinus
1422,,Fabius,Maximus
1423,,Cornelius,Lentulus
1424,,Caecilius,Metellus
1425,,Licinius,Nerva
1429,,Aelius,Tubero
1433,,Porcius,Cato
1434,,Sergius,Silus
1436,,Sempronius,Musca
1437,,Naevius,Balbus
1438,,Appuleius,Saturninus
1439,,Cassius,Longinus
1440,,Claudius,Nero
1442,,Manlius,Torquatus
1446,,Terentius,Tuscivicanus
1448,,Iunius,(Brutus)
1449,,Quinctius,Flamininus
1452,,Claudius,Pulcher
1454,,Iulius,(Caesar)
1455,,Quinctilius,Varus
1456,,Rutilius,Calvus
1457,,Cornelius,Dolabella
1460,,Valerius,Messalla
1461,,Fannius,Strabo
1465,,Cornelius,Lentulus
1466,,Valerius,Flaccus
1468,,Aurelius,Orestes
1469,,Cornelius,Merula
1470,,Servilius,Glaucia
1471,,Aemilius,Lepidus
1472,,Cornelius,Merula
1474,,Cornelius,Lentulus
1475,,Marcius,Censorinus
1481,,Claudius,Centho
1483,,Calpurnius,Piso
1484,,Licinius,Lucullus
1485,,Aurelius,Cotta
1486,,Terentius,Varro
1492,,Valerius,Flaccus
1494,,Acilius,Balbus
1495,,Mummius,Achaicus
1499,,Atilius,(Serranus)
1500,,Licinius,Crassus
1502,,Postumius,Albinus
1503,,Hostilius,Mancinus
1504,,Cornelius,Scipio
1506,,Cornelius,Scipio
1507,,Iuventius,Thalna
1508,,Hostilius,Mancinus
1510,,Calpurnius,Piso
1511,,Scribonius,Libo
1513,,Cornelius,Scipio
1515,,Manlius,Vulso
1519,,Livius,Drusus
1520,,Licinius,Murena
1521,,Sempronius,Tuditanus
